,Feature,SHAP
1,Temperature_delta,0.40879983
2,Height,0.38013324
3,SPAD_std,0.35968447
4,Height_delta,0.35257146
5,Average_SPAD_delta,0.233736
6,Canopy_Cover_delta,0.1087652
7,Canopy_Cover,0.10767974
8,SPAD_range,0.09969008
9,Trunk_Diameter,0.08258889
10,Temperature_roll3,0.06608567
11,Temperature,0.05771859
12,Trunk_Diameter_roll3,0.04896277
13,Temperature_roll3std,0.044232637
14,Average_SPAD,0.040780045
15,Branches_delta,0.036670893
16,Branches_roll3,0.035626017
17,Temp_SPAD_ratio,0.03173809
18,Temp_cumsum,0.027035248
19,Height_roll3,0.023941804
20,Branches,0.02348087
21,Trunk_Diameter_delta,0.020648926
22,week_num,0.019444678
23,Average_SPAD_roll3,0.014991358
24,Average_SPAD_roll3std,0.01365152
